"","id","SITE","SPECIES","Myc","N","nyears","amb.rep","elev.rep","yi","vi","Experiment.Name","note","legumes","Source.Reference","Site.Name","Site.Name2","Species","Species2","Country","Latitude","Lat","Longitude","Lon","MAP","MAT","ph","CNr","totN.","CNr2","comment","comment2","map","PamountBray2","PamountBray","PamountBray09_new","P_ref","Age.at.start","ambco2","co2conc","Fumigation.type","Biome","System.Type","ESA_PAN","MODIS_PAN","CNwise","Ntot","NtotPerc","pHgrids","CEC","Pretention","PamountBray_GSDE","PamountBray09","PamountOlsen","PamountMehlich","PTot","PHO","ENa","Ktot","Ptot_ORNL","Plabile","Porg","Poccluded","Psecondary","Papatite","ClayPerc","MATcru","AGTcru0","AGTcru5","GDD","Alpha","PETcru","MAPcru","MAPmax","AETsplash","PETsplash2","waterlim","moisture","SolRad","Twarm","T_Day.range","Isothermality","T_seasonality","Tmax_warmestM","Tmin_coldestM","T_An.range","T_wettestQ","T_driestsQ","T_warmestQ","T_coldestQ","P_wettestM","P_driestM","P_seasonality","P_wettestQ","P_driestQ","P_warmestQ","P_coldestQ","MWD","MAPraw","MAP2","Age2","newN","Classification","deltaco2"
"156","Lancaster_c2_Abies alba -ECM_Nlow","Lancaster_c2","Abies alba ","ECM","Nlow",1.25,3,3,-0.11599734903162,0.0461912809751732,"Lancaster_c2","","","Heath et al., 2005","Lancaster Solardomes","Lancaster Solardomes","Abies alba","A. alba","UK",54.02,"N",-2.78,"W",1750,13,NA,NA,NA,NA,"","","",1289,1289,12.77499962,"","seedlings",380,580,"G","Temperate_Forest","Tree Stand","Nodata","Grasslands",12,2.099999905,0.20999999,55,20,1,1289,12.77499962,427,775,600,300,0.179999992,153,450.1655273,31.79753494,195.7586823,127.01371,53.43963623,42.15595627,18,12.63230804,12.63230804,14.32000039,1219,1.25999999,525.1000152,2777.700075,2258,551.4153442,551.4152832,1,3.026756959,9256.916992,14.78333362,7.405666756,38.19716778,444.7120145,18.63599968,-0.751999974,19.38799965,6.77333347,10.48600018,14.78799995,4.001333341,151,74,25.7889052,447,237,289,369,0,"watered",2258,0,"Nlow","low",0.422856850820034
"157","Lancaster_c2_Betula pendula -ECM_Nlow","Lancaster_c2","Betula pendula ","ECM","Nlow",1.25,3,3,0.156376423255961,0.0133608282043064,"Lancaster_c2","","","Heath et al., 2005","Lancaster Solardomes","Lancaster Solardomes","Betula pendula ","B. pendula ","UK",54.02,"N",-2.78,"W",1750,13,NA,NA,NA,NA,"","","",1289,1289,12.77499962,"","seedlings",380,580,"G","Temperate_Forest","Tree Stand","Nodata","Grasslands",12,2.099999905,0.20999999,55,20,1,1289,12.77499962,427,775,600,300,0.179999992,153,450.1655273,31.79753494,195.7586823,127.01371,53.43963623,42.15595627,18,12.63230804,12.63230804,14.32000039,1219,1.25999999,525.1000152,2777.700075,2258,551.4153442,551.4152832,1,3.026756959,9256.916992,14.78333362,7.405666756,38.19716778,444.7120145,18.63599968,-0.751999974,19.38799965,6.77333347,10.48600018,14.78799995,4.001333341,151,74,25.7889052,447,237,289,369,0,"watered",2258,0,"Nlow","low",0.422856850820034
"158","Lancaster_c2_Carpinus betulus -ECM_Nlow","Lancaster_c2","Carpinus betulus ","ECM","Nlow",1.25,3,3,-0.0575501252320071,0.0613012189886688,"Lancaster_c2","","","Heath et al., 2005","Lancaster Solardomes","Lancaster Solardomes","Carpinus betulus ","C. betulus ","UK",54.02,"N",-2.78,"W",1750,13,NA,NA,NA,NA,"","","",1289,1289,12.77499962,"","seedlings",380,580,"G","Temperate_Forest","Tree Stand","Nodata","Grasslands",12,2.099999905,0.20999999,55,20,1,1289,12.77499962,427,775,600,300,0.179999992,153,450.1655273,31.79753494,195.7586823,127.01371,53.43963623,42.15595627,18,12.63230804,12.63230804,14.32000039,1219,1.25999999,525.1000152,2777.700075,2258,551.4153442,551.4152832,1,3.026756959,9256.916992,14.78333362,7.405666756,38.19716778,444.7120145,18.63599968,-0.751999974,19.38799965,6.77333347,10.48600018,14.78799995,4.001333341,151,74,25.7889052,447,237,289,369,0,"watered",2258,0,"Nlow","low",0.422856850820034
"159","Lancaster_c2_Fagus sylvatica -ECM_Nlow","Lancaster_c2","Fagus sylvatica ","ECM","Nlow",1.25,3,3,0.187125074923166,0.133711075519612,"Lancaster_c2","","","Heath et al., 2005","Lancaster Solardomes","Lancaster Solardomes","Fagus sylvatica","F. sylvatica","UK",54.02,"N",-2.78,"W",1750,13,NA,NA,NA,NA,"","","",1289,1289,12.77499962,"","seedlings",380,580,"G","Temperate_Forest","Tree Stand","Nodata","Grasslands",12,2.099999905,0.20999999,55,20,1,1289,12.77499962,427,775,600,300,0.179999992,153,450.1655273,31.79753494,195.7586823,127.01371,53.43963623,42.15595627,18,12.63230804,12.63230804,14.32000039,1219,1.25999999,525.1000152,2777.700075,2258,551.4153442,551.4152832,1,3.026756959,9256.916992,14.78333362,7.405666756,38.19716778,444.7120145,18.63599968,-0.751999974,19.38799965,6.77333347,10.48600018,14.78799995,4.001333341,151,74,25.7889052,447,237,289,369,0,"watered",2258,0,"Nlow","low",0.422856850820034
"160","Lancaster_c2_Pinus sylvestris -ECM_Nlow","Lancaster_c2","Pinus sylvestris ","ECM","Nlow",1.25,3,3,0.264572328902295,0.0442083482611258,"Lancaster_c2","","","Heath et al., 2005","Lancaster Solardomes","Lancaster Solardomes","Pinus sylvestris ","P. sylvestris ","UK",54.02,"N",-2.78,"W",1750,13,NA,NA,NA,NA,"","","",1289,1289,12.77499962,"","seedlings",380,580,"G","Temperate_Forest","Tree Stand","Nodata","Grasslands",12,2.099999905,0.20999999,55,20,1,1289,12.77499962,427,775,600,300,0.179999992,153,450.1655273,31.79753494,195.7586823,127.01371,53.43963623,42.15595627,18,12.63230804,12.63230804,14.32000039,1219,1.25999999,525.1000152,2777.700075,2258,551.4153442,551.4152832,1,3.026756959,9256.916992,14.78333362,7.405666756,38.19716778,444.7120145,18.63599968,-0.751999974,19.38799965,6.77333347,10.48600018,14.78799995,4.001333341,151,74,25.7889052,447,237,289,369,0,"watered",2258,0,"Nlow","low",0.422856850820034
"161","Lancaster_c2_Quercus robur-ECM_Nlow","Lancaster_c2","Quercus robur","ECM","Nlow",1.25,3,3,0.220459306519325,0.110590542888176,"Lancaster_c2","","","Heath et al., 2005","Lancaster Solardomes","Lancaster Solardomes","Quercus robur","Q. robur","UK",54.02,"N",-2.78,"W",1750,13,NA,NA,NA,NA,"","","",1289,1289,12.77499962,"","seedlings",380,580,"G","Temperate_Forest","Tree Stand","Nodata","Grasslands",12,2.099999905,0.20999999,55,20,1,1289,12.77499962,427,775,600,300,0.179999992,153,450.1655273,31.79753494,195.7586823,127.01371,53.43963623,42.15595627,18,12.63230804,12.63230804,14.32000039,1219,1.25999999,525.1000152,2777.700075,2258,551.4153442,551.4152832,1,3.026756959,9256.916992,14.78333362,7.405666756,38.19716778,444.7120145,18.63599968,-0.751999974,19.38799965,6.77333347,10.48600018,14.78799995,4.001333341,151,74,25.7889052,447,237,289,369,0,"watered",2258,0,"Nlow","low",0.422856850820034
"162","Lancaster_c2f_Abies alba -ECM_Nhigh","Lancaster_c2f","Abies alba ","ECM","Nhigh",1.25,3,3,-0.125055917954274,0.0891410812715321,"Lancaster_c2f","","","Heath et al., 2005","Lancaster Solardomes","Lancaster Solardomes F","Abies alba","A. alba","UK",54.02,"N",-2.78,"W",1750,13,NA,NA,NA,NA,"","","",1289,1289,12.77499962,"","seedlings",380,580,"G","Temperate_Forest","Tree Stand","Nodata","Grasslands",12,2.099999905,0.20999999,55,20,1,1289,12.77499962,427,775,600,300,0.179999992,153,450.1655273,31.79753494,195.7586823,127.01371,53.43963623,42.15595627,18,12.63230804,12.63230804,14.32000039,1219,1.25999999,525.1000152,2777.700075,2258,551.4153442,551.4152832,1,3.026756959,9256.916992,14.78333362,7.405666756,38.19716778,444.7120145,18.63599968,-0.751999974,19.38799965,6.77333347,10.48600018,14.78799995,4.001333341,151,74,25.7889052,447,237,289,369,0,"watered",2258,0,"Nlow","low",0.422856850820034
"163","Lancaster_c2f_Betula pendula -ECM_Nhigh","Lancaster_c2f","Betula pendula ","ECM","Nhigh",1.25,3,3,0.394298511505055,0.0109539464641819,"Lancaster_c2f","","","Heath et al., 2005","Lancaster Solardomes","Lancaster Solardomes F","Betula pendula ","B. pendula ","UK",54.02,"N",-2.78,"W",1750,13,NA,NA,NA,NA,"","","",1289,1289,12.77499962,"","seedlings",380,580,"G","Temperate_Forest","Tree Stand","Nodata","Grasslands",12,2.099999905,0.20999999,55,20,1,1289,12.77499962,427,775,600,300,0.179999992,153,450.1655273,31.79753494,195.7586823,127.01371,53.43963623,42.15595627,18,12.63230804,12.63230804,14.32000039,1219,1.25999999,525.1000152,2777.700075,2258,551.4153442,551.4152832,1,3.026756959,9256.916992,14.78333362,7.405666756,38.19716778,444.7120145,18.63599968,-0.751999974,19.38799965,6.77333347,10.48600018,14.78799995,4.001333341,151,74,25.7889052,447,237,289,369,0,"watered",2258,0,"Nlow","low",0.422856850820034
"164","Lancaster_c2f_Carpinus betulus -ECM_Nhigh","Lancaster_c2f","Carpinus betulus ","ECM","Nhigh",1.25,3,3,0.262265899593528,0.110172156397253,"Lancaster_c2f","","","Heath et al., 2005","Lancaster Solardomes","Lancaster Solardomes F","Carpinus betulus ","C. betulus ","UK",54.02,"N",-2.78,"W",1750,13,NA,NA,NA,NA,"","","",1289,1289,12.77499962,"","seedlings",380,580,"G","Temperate_Forest","Tree Stand","Nodata","Grasslands",12,2.099999905,0.20999999,55,20,1,1289,12.77499962,427,775,600,300,0.179999992,153,450.1655273,31.79753494,195.7586823,127.01371,53.43963623,42.15595627,18,12.63230804,12.63230804,14.32000039,1219,1.25999999,525.1000152,2777.700075,2258,551.4153442,551.4152832,1,3.026756959,9256.916992,14.78333362,7.405666756,38.19716778,444.7120145,18.63599968,-0.751999974,19.38799965,6.77333347,10.48600018,14.78799995,4.001333341,151,74,25.7889052,447,237,289,369,0,"watered",2258,0,"Nlow","low",0.422856850820034
"165","Lancaster_c2f_Fagus sylvatica -ECM_Nhigh","Lancaster_c2f","Fagus sylvatica ","ECM","Nhigh",1.25,3,3,0.256866142748414,0.146474357122614,"Lancaster_c2f","","","Heath et al., 2005","Lancaster Solardomes","Lancaster Solardomes F","Fagus sylvatica","F. sylvatica","UK",54.02,"N",-2.78,"W",1750,13,NA,NA,NA,NA,"","","",1289,1289,12.77499962,"","seedlings",380,580,"G","Temperate_Forest","Tree Stand","Nodata","Grasslands",12,2.099999905,0.20999999,55,20,1,1289,12.77499962,427,775,600,300,0.179999992,153,450.1655273,31.79753494,195.7586823,127.01371,53.43963623,42.15595627,18,12.63230804,12.63230804,14.32000039,1219,1.25999999,525.1000152,2777.700075,2258,551.4153442,551.4152832,1,3.026756959,9256.916992,14.78333362,7.405666756,38.19716778,444.7120145,18.63599968,-0.751999974,19.38799965,6.77333347,10.48600018,14.78799995,4.001333341,151,74,25.7889052,447,237,289,369,0,"watered",2258,0,"Nlow","low",0.422856850820034
